"","year","month","value","units","date"
"125",2005,2,288.566032862634,"Terawatthours",2005.08333333333
"126",2005,1,331.702149629459,"Terawatthours",2005
"127",2004,12,330.567714133907,"Terawatthours",2004.91666666667
"128",2004,11,292.047131255764,"Terawatthours",2004.83333333333
"129",2004,10,302.051677955863,"Terawatthours",2004.75
"130",2004,9,324.452474675094,"Terawatthours",2004.66666666667
"131",2004,8,356.177148096618,"Terawatthours",2004.58333333333
"132",2004,7,364.773854633425,"Terawatthours",2004.5
"133",2004,6,333.60042488906,"Terawatthours",2004.41666666667
"134",2004,5,316.484837557096,"Terawatthours",2004.33333333333
"135",2004,4,280.889892565099,"Terawatthours",2004.25
"136",2004,3,298.53463017009,"Terawatthours",2004.16666666667
"137",2004,2,303.820471791814,"Terawatthours",2004.08333333333
"138",2004,1,335.012364909135,"Terawatthours",2004
"139",2003,12,320.641892224458,"Terawatthours",2003.91666666667
"140",2003,11,287.953516579335,"Terawatthours",2003.83333333333
"141",2003,10,296.532397777961,"Terawatthours",2003.75
"142",2003,9,312.38137684404,"Terawatthours",2003.66666666667
"143",2003,8,369.10922455264,"Terawatthours",2003.58333333333
"144",2003,7,361.935906893226,"Terawatthours",2003.5
"145",2003,6,317.754560592743,"Terawatthours",2003.41666666667
"146",2003,5,297.309594703334,"Terawatthours",2003.33333333333
"147",2003,4,276.245565907157,"Terawatthours",2003.25
"148",2003,3,294.189388112825,"Terawatthours",2003.16666666667
"149",2003,2,289.289582664137,"Terawatthours",2003.08333333333
"150",2003,1,330.607287757411,"Terawatthours",2003
"151",2002,12,314.02302871718,"Terawatthours",2002.91666666667
"152",2002,11,286.428853215624,"Terawatthours",2002.83333333333
"153",2002,10,296.840324960577,"Terawatthours",2002.75
"154",2002,9,320.25424066338,"Terawatthours",2002.66666666667
"155",2002,8,362.119365092045,"Terawatthours",2002.58333333333
"156",2002,7,368.844141405106,"Terawatthours",2002.5
"157",2002,6,329.673674673728,"Terawatthours",2002.41666666667
"158",2002,5,297.434960802691,"Terawatthours",2002.33333333333
"159",2002,4,280.201915135691,"Terawatthours",2002.25
"160",2002,3,292.479980813552,"Terawatthours",2002.16666666667
"161",2002,2,272.446366576922,"Terawatthours",2002.08333333333
"162",2002,1,309.293613355075,"Terawatthours",2002
"163",2001,12,295.32921306878,"Terawatthours",2001.91666666667
"164",2001,11,269.650840415446,"Terawatthours",2001.83333333333
"165",2001,10,284.92468816911,"Terawatthours",2001.75
"166",2001,9,296.71407527973,"Terawatthours",2001.66666666667
"167",2001,8,358.201256381024,"Terawatthours",2001.58333333333
"168",2001,7,345.712085297518,"Terawatthours",2001.5
"169",2001,6,316.788110952738,"Terawatthours",2001.41666666667
"170",2001,5,290.491065947254,"Terawatthours",2001.33333333333
"171",2001,4,268.824226730099,"Terawatthours",2001.25
"172",2001,3,290.698836171125,"Terawatthours",2001.16666666667
"173",2001,2,273.523765630547,"Terawatthours",2001.08333333333
"174",2001,1,321.427573078888,"Terawatthours",2001
"175",2000,12,308.393912786354,"Terawatthours",2000.91666666667
"176",2000,11,275.196264551576,"Terawatthours",2000.83333333333
"177",2000,10,279.818756886174,"Terawatthours",2000.75
"178",2000,9,302.048220967451,"Terawatthours",2000.66666666667
"179",2000,8,356.399810632149,"Terawatthours",2000.58333333333
"180",2000,7,344.662437856409,"Terawatthours",2000.5
"181",2000,6,327.769735405427,"Terawatthours",2000.41666666667
"182",2000,5,312.20557409579,"Terawatthours",2000.33333333333
"183",2000,4,276.073537231267,"Terawatthours",2000.25
"184",2000,3,291.543049949044,"Terawatthours",2000.16666666667
"185",2000,2,284.379138468951,"Terawatthours",2000.08333333333
"186",2000,1,317.078093890691,"Terawatthours",2000
"187",1999,12,285.350647918058,"Terawatthours",1999.91666666667
"188",1999,11,262.073433099045,"Terawatthours",1999.83333333333
"189",1999,10,274.48530433623,"Terawatthours",1999.75
"190",1999,9,295.347895887029,"Terawatthours",1999.66666666667
"191",1999,8,351.916183665977,"Terawatthours",1999.58333333333
"192",1999,7,364.006870131316,"Terawatthours",1999.5
"193",1999,6,317.977035584718,"Terawatthours",1999.41666666667
"194",1999,5,290.110728584813,"Terawatthours",1999.33333333333
"195",1999,4,271.376503100667,"Terawatthours",1999.25
"196",1999,3,288.22226939354,"Terawatthours",1999.16666666667
"197",1999,2,265.674076974297,"Terawatthours",1999.08333333333
"198",1999,1,305.303206603673,"Terawatthours",1999
"199",1998,12,288.069008607203,"Terawatthours",1998.91666666667
"200",1998,11,258.24593595986,"Terawatthours",1998.83333333333
"201",1998,10,274.979015644432,"Terawatthours",1998.75
"202",1998,9,308.310453971024,"Terawatthours",1998.66666666667
"203",1998,8,345.47225189281,"Terawatthours",1998.58333333333
"204",1998,7,349.890981055261,"Terawatthours",1998.5
"205",1998,6,317.95689785384,"Terawatthours",1998.41666666667
"206",1998,5,289.667698505501,"Terawatthours",1998.33333333333
