"","series_id","units","value","date","year","month","change_first_order","change_second_order"
"58","TOTAL.OGNRPUS.M","Number of Rigs",2101,1977-10-01,1977,10,0.0082,-0.0574712643678159
"59","TOTAL.OGNRPUS.M","Number of Rigs",2113,1977-11-01,1977,11,0.0057,-0.304878048780488
"60","TOTAL.OGNRPUS.M","Number of Rigs",2141,1977-12-01,1977,12,0.0133,1.33333333333333
"61","TOTAL.OGNRPUS.M","Number of Rigs",2128,1978-01-01,1978,1,-0.0061,-1.45864661654135
"62","TOTAL.OGNRPUS.M","Number of Rigs",2135,1978-02-01,1978,2,0.0033,-1.54098360655738
"63","TOTAL.OGNRPUS.M","Number of Rigs",2159,1978-03-01,1978,3,0.0112,2.39393939393939
"64","TOTAL.OGNRPUS.M","Number of Rigs",2198,1978-04-01,1978,4,0.0181,0.616071428571429
"65","TOTAL.OGNRPUS.M","Number of Rigs",2249,1978-05-01,1978,5,0.0232,0.281767955801105
"66","TOTAL.OGNRPUS.M","Number of Rigs",2287,1978-06-01,1978,6,0.0169,-0.271551724137931
"67","TOTAL.OGNRPUS.M","Number of Rigs",2307,1978-07-01,1978,7,0.0087,-0.485207100591716
"68","TOTAL.OGNRPUS.M","Number of Rigs",2325,1978-08-01,1978,8,0.0078,-0.103448275862069
"69","TOTAL.OGNRPUS.M","Number of Rigs",2332,1978-09-01,1978,9,0.003,-0.615384615384615
"70","TOTAL.OGNRPUS.M","Number of Rigs",2346,1978-10-01,1978,10,0.006,1
"71","TOTAL.OGNRPUS.M","Number of Rigs",2356,1978-11-01,1978,11,0.0043,-0.283333333333333
"72","TOTAL.OGNRPUS.M","Number of Rigs",2286,1978-12-01,1978,12,-0.0297,-7.90697674418605
"73","TOTAL.OGNRPUS.M","Number of Rigs",2199,1979-01-01,1979,1,-0.0381,0.282828282828283
"74","TOTAL.OGNRPUS.M","Number of Rigs",2064,1979-02-01,1979,2,-0.0614,0.611548556430446
"75","TOTAL.OGNRPUS.M","Number of Rigs",1971,1979-03-01,1979,3,-0.0451,-0.265472312703583
