"","year","month","value","units","date"
"67",2009,12,338.943762036549,"Terawatthours",2009.91666666667
"68",2009,11,286.848440630231,"Terawatthours",2009.83333333333
"69",2009,10,296.910819717818,"Terawatthours",2009.75
"70",2009,9,316.599388107881,"Terawatthours",2009.66666666667
"71",2009,8,368.644599099953,"Terawatthours",2009.58333333333
"72",2009,7,360.251741972761,"Terawatthours",2009.5
"73",2009,6,336.188700744586,"Terawatthours",2009.41666666667
"74",2009,5,301.035627232091,"Terawatthours",2009.33333333333
"75",2009,4,279.985175371131,"Terawatthours",2009.25
"76",2009,3,300.355908763219,"Terawatthours",2009.16666666667
"77",2009,2,290.960867526333,"Terawatthours",2009.08333333333
"78",2009,1,343.281127832479,"Terawatthours",2009
"79",2008,12,332.552758904949,"Terawatthours",2008.91666666667
"80",2008,11,299.817552527204,"Terawatthours",2008.83333333333
"81",2008,10,308.038195961562,"Terawatthours",2008.75
"82",2008,9,326.903371531017,"Terawatthours",2008.66666666667
"83",2008,8,376.153717200419,"Terawatthours",2008.58333333333
"84",2008,7,389.608312174015,"Terawatthours",2008.5
"85",2008,6,360.799843727008,"Terawatthours",2008.41666666667
"86",2008,5,314.514700108346,"Terawatthours",2008.33333333333
"87",2008,4,295.774284191619,"Terawatthours",2008.25
"88",2008,3,313.92003589643,"Terawatthours",2008.16666666667
"89",2008,2,314.38008759937,"Terawatthours",2008.08333333333
"90",2008,1,351.02280293087,"Terawatthours",2008
"91",2007,12,334.865919255751,"Terawatthours",2007.91666666667
"92",2007,11,303.740033683655,"Terawatthours",2007.83333333333
"93",2007,10,321.642151300708,"Terawatthours",2007.75
"94",2007,9,343.669165396875,"Terawatthours",2007.66666666667
"95",2007,8,407.881229450324,"Terawatthours",2007.58333333333
"96",2007,7,380.253558472411,"Terawatthours",2007.5
"97",2007,6,350.787285917931,"Terawatthours",2007.41666666667
"98",2007,5,319.309088934552,"Terawatthours",2007.33333333333
"99",2007,4,293.128579063605,"Terawatthours",2007.25
"100",2007,3,309.898624868704,"Terawatthours",2007.16666666667
"101",2007,2,312.566750103902,"Terawatthours",2007.08333333333
"102",2007,1,341.867804309752,"Terawatthours",2007
"103",2006,12,325.188976477943,"Terawatthours",2006.91666666667
"104",2006,11,298.959414100762,"Terawatthours",2006.83333333333
"105",2006,10,310.958319913682,"Terawatthours",2006.75
"106",2006,9,321.100534309832,"Terawatthours",2006.66666666667
"107",2006,8,394.310104071882,"Terawatthours",2006.58333333333
"108",2006,7,396.88066291871,"Terawatthours",2006.5
"109",2006,6,352.242558297662,"Terawatthours",2006.41666666667
"110",2006,5,319.708281916523,"Terawatthours",2006.33333333333
"111",2006,4,288.031487362612,"Terawatthours",2006.25
